Grau de instrução;adm.analf;adm.5.inc;adm.5.comp;adm.6.a.9;adm.fund.comp;adm.med.inc;adm.med.comp;adm.sup.inc;adm.sup.comp;TOTAL;desl.analf;desl.5.inc;Ydesl.5.comp;desl.6.a.9;desl.fund.comp;desl.med.inc;desl.med.comp;desl.sup.inc;desl.sup.comp;TOTAL;deslVOLanalf;deslVOL5.inc;deslVOL5.comp;deslVOL6.a.9;deslVOLfund.comp;deslVOLmed.inc;deslVOLmed.comp;deslVOLsup.inc;deslVOLsup.comp;TOTAL
01/07/2011;12364;98059;96131;194230;300147;222907;1025635;77305;175143;2201921;10695;90086;94714;183995;279237;198098;887740;70135;161278;1975978;2513;19518;21786;42388;65544;50504;224967;20233;47349;494802
01/08/2011;14164;104950;98257;204545;321656;245488;1117312;92107;241602;2440081;11737;95639;104919;203113;296760;212303;934880;75116;166035;2100502;2611;20080;22644;45800;71753;56663;247333;22553;51174;540611
01/09/2011;19066;110606;97658;193377;303228;231653;1072172;83746;189300;2300806;11019;89255;99334;187517;279063;200499;891015;70503;143726;1971931;2448;18369;20229;44067;68959;54308;238733;20774;43005;510892
01/10/2011;11216;86331;86954;179575;288707;222798;1040631;77328;159151;2152691;11199;94916;99450;184377;274966;195297;880233;68620;134562;1943620;2650;18136;18727;41449;67248;53571;237395;19830;39361;498367
01/11/2011;9092;76413;80584;174196;281096;218042;1072001;75315;141303;2128042;12294;101223;104437;198550;289586;204220;891422;66645;131249;1999626;2261;16450;18190;40155;65970;52924;233470;19813;37204;486437
01/12/2011;6514;57893;61259;132750;216613;174473;870363;60429;102576;1682870;12836;110518;114619;215375;313383;236287;1103534;102199;434359;2643110;2295;16702;18036;40025;64585;54456;242735;22304;58351;519489
01/01/2012;12333;106285;102748;211865;348334;240508;1185368;88096;254679;2550216;8918;76578;79983;169944;270800;204484;935832;68647;161137;1976323;2102;17032;19172;44601;71850;59359;250920;20903;47812;533751
01/02/2012;9869;95136;93680;197567;316877;230598;1131148;98928;427748;2601551;12591;83629;83398;173013;271007;203404;916273;69193;167546;1980054;2112;16988;19076;45199;70273;58914;250840;21692;57126;542220
01/03/2012;10277;95640;96065;216490;335161;259236;1244503;94738;272790;2624900;17773;107439;100419;203022;309889;229284;1036863;78684;179714;2263087;2362;18760;21385;50093;77636;64313;279911;24908;58123;597491
01/04/2012;11553;97613;96794;203306;305241;235999;1150560;88063;227958;2417087;13088;91181;84310;178214;270386;198940;945959;71043;159341;2012462;1921;17063;18991;44538;69999;57403;254526;22081;51894;538416
01/05/2012;13878;107253;109105;206010;310998;233737;1145248;85191;210480;2421900;10489;85849;92429;190436;296122;215338;994076;74554;163539;2122832;2019;18009;20360;45783;70856;57849;257462;22016;49979;544333
01/06/2012;13662;108378;100684;196475;294909;222655;1085161;80425;199394;2301743;9714;85584;88229;181938;276426;207149;956524;71383;165067;2042014;2169;17865;19710;42210;64984;53534;242393;20759;48617;512241
01/07/2012;11959;97566;92301;195486;300159;238214;1119896;80539;207936;2344056;9803;85024;87558;183595;283256;210738;967007;70979;186431;2084391;2457;19972;22222;45942;71090;57972;260133;21535;54030;555353
01/08/2012;12100;92359;87893;194161;307553;249274;1150825;91652;241661;2427478;11304;92181;97294;194309;296146;220731;1012454;76048;175720;2176187;2574;20179;22188;47610;73847;61884;274417;22632;55511;580842
01/09/2012;17076;97428;80923;180768;273949;225990;1065645;81484;177534;2200797;9989;83844;87482;174079;261567;199172;913110;67509;140644;1937396;2211;17064;18747;42949;67008;56359;249266;19757;41787;515148
01/10/2012;11166;86627;81969;184422;288767;251741;1123073;78721;167612;2274098;10971;94013;96322;195104;296903;220937;1054602;78761;166775;2214388;2364;18324;19663;45907;73102;61812;274007;21453;43745;560377
01/11/2012;8911;72406;69746;167477;264829;223377;1109007;71485;140738;2127976;11524;95026;92226;189193;280929;207787;956543;68011;151155;2052394;2046;15534;16748;39710;64217;54796;245573;18974;38211;495809
01/12/2012;5576;46386;45866;117158;194660;167402;877149;55386;102812;1612395;13230;118234;121921;226864;336396;258280;1265000;116734;468610;2925269;1810;15168;16010;37872;61978;54593;251032;22125;58153;518741
01/01/2013;11057;106834;102803;223924;358745;264474;1399834;98146;354237;2920054;11273;83347;82570;177754;286415;221454;1063032;73543;189416;2188804;1984;16668;18429;46510;75597;64605;277809;21402;54803;577807
01/02/2013;9780;96148;87098;193915;314459;240030;1220173;99889;458371;2719863;12148;83420;77800;172411;270539;210354;976469;69042;189964;2062147;1803;15463;16908;42943;68377;59737;261288;21228;61302;549049
01/03/2013;9892;97313;90308;208740;376127;258274;1304584;95594;308306;2749138;14264;96671;84809;188996;291155;224720;1064042;74756;191393;2230806;2051;17203;17847;44438;71285;62697;280584;22920;58860;577885
01/04/2013;11820;101820;92505;210482;322619;251845;1286714;93522;267180;2638507;11485;88406;81765;186770;286672;222422;1057136;75906;185723;2196285;1953;16986;18124;46027;72896;63679;286338;23167;57007;586177
01/05/2013;11531;95708;89113;192689;295465;232945;1191189;86233;234208;2429081;9518;82488;82961;184136;287523;221316;1061473;74687;184284;2188386;1963;16484;17640;43106;68184;58882;272618;22038;54021;554936
01/06/2013;12522;100597;87090;188317;285446;223434;1139734;77518;200796;2315454;9479;80413;79155;173589;270485;212579;1012899;73781;186727;2099107;2036;16157;17228;40509;64083;55490;255575;20346;49926;521350
01/07/2013;11274;91449;77634;184144;285631;235350;1157988;82194;214230;2339894;9376;81370;81693;182077;285519;220187;1062378;73767;201693;2198060;2197;17436;18541;43133;68027;58709;273161;21399;55403;558006
01/08/2013;10458;86690;76453;182928;303790;242566;1201091;88058;260154;2452188;9543;86021;83073;182110;281321;214628;1040080;73308;190067;2160151;2078;17775;17436;42641;67756;58420;271884;21615;57019;556624
01/09/2013;15365;100373;75813;185385;285602;239387;1174064;83391;215064;2374444;9110;80486;77690;170379;265495;207510;994013;69374;171579;2045636;1879;16146;15897;40010;65340;57106;262889;20226;48389;527882
01/10/2013;12752;88334;73402;181756;289440;244863;1203038;81762;199774;2375121;9673;85749;83147;181714;287481;221134;1078869;72607;182462;2202836;2068;16338;16231;41031;67278;60041;277712;20938;48146;549783
01/11/2013;9243;71387;63404;159014;254859;219510;1149189;75080;164887;2166573;10547;88541;82635;176911;272432;208105;989992;66664;156918;2052745;1810;13853;14187;36091;58187;53430;246225;18576;41056;483415
01/12/2013;5805;46692;43078;110963;181126;161854;880229;54858;113259;1597864;12595;103939;94189;196486;309835;244898;1200413;107909;488249;2758513;1755;13470;13404;34183;55323;53457;247621;19915;53943;493071
01/01/2014;11768;96569;81757;196287;315185;242952;1318107;89052;328325;2680002;9325;71158;65679;152588;251472;209607;1012160;65379;172060;2009428;2088;15794;15718;42527;69876;65565;291503;21397;55410;579878
01/02/2014;10339;94477;79533;202222;315635;265703;1368969;107992;494770;2939640;9734;75680;68436;164715;265252;217836;1051351;73039;201720;2127763;1917;15171;15938;43286;67640;65026;292271;23639;69406;594294
01/03/2014;8710;75320;67403;169571;327108;227768;1183203;84297;281725;2425105;11625;84109;71539;174596;280338;226087;1094637;74333;213115;2230379;1884;15484;15407;41589;67019;61395;285225;22500;62263;572766
01/04/2014;9895;83818;73981;178186;277090;232699;1241506;86500;257376;2441051;12903;84528;71225;168117;264584;214166;1083362;72525;193027;2164437;2027;15317;14829;40002;63686;58626;277164;21854;59541;553046
01/05/2014;12358;93219;83196;180264;278902;228795;1207384;81554;231496;2397168;11108;81819;75809;176801;275429;222346;1107076;73671;187248;2211307;1915;14724;15283;38797;61947;56263;273248;21379;56514;540070
01/06/2014;10678;85669;73816;160470;248250;205338;1066593;72717;199436;2122967;8899;74134;69973;161673;253490;204369;1017453;69596;196933;2056520;1956;13991;14428;34779;55181;49456;240913;18438;52697;481839
01/07/2014;9727;81105;67746;167938;262458;229746;1212328;81192;249698;2361938;9289;79260;72772;166911;264228;222263;1137786;75133;220305;2247947;1948;15003;14920;37312;59165;54065;259218;20455;63753;525839
01/08/2014;10170;80966;65387;170045;267086;229011;1169893;83915;258733;2335206;9616;78273;72611;167364;260482;210450;1040983;72590;197714;2110083;1988;14769;14369;36819;58513;53980;260901;20966;60158;522463
01/09/2014;14947;92091;64126;166478;261132;230503;1195019;85301;224711;2334308;8778;75702;71237;167442;256747;213526;1047829;70538;183388;2095187;1834;14762;14149;38002;60072;55523;268372;20597;53528;526839
01/10/2014;9449;72901;60618;158150;249439;222481;1163635;77139;191207;2205019;9465;83261;75634;174486;269034;219349;1108212;75381;184865;2199687;2000;15258;13950;37580;60888;56050;278448;20595;51180;535949
01/11/2014;8385;63987;54793;146608;232820;211937;1133770;73929;165686;2091915;10205;84444;73193;168222;259517;206017;1039769;69090;176348;2086805;1684;12385;11670;31872;51522;48589;238593;17704;42629;456648
01/12/2014;4681;38737;34831;95350;160165;149534;864068;53914;112857;1514137;10599;95420;83801;187606;303558;249569;1300188;112933;535154;2878828;1465;11930;11730;30600;51063;49874;249279;20124;58895;484960
01/01/2015;10460;82012;68745;167731;285229;209898;1219263;83848;305750;2432936;7681;64216;56858;142019;242774;194500;1003680;67105;195840;1974673;1744;13826;13303;37168;60965;57409;269249;19693;52989;526346
01/02/2015;8267;70013;58931;151882;253260;218417;1171556;90081;444053;2466460;10597;72047;61816;147559;254664;199901;1031253;69292;195045;2042174;1600;12093;12371;34881;54373;53166;253824;20172;61149;503629
01/03/2015;8469;68940;58655;155252;282269;216583;1236417;91865;308792;2427242;11012;75343;66711;162726;257287;213889;1102539;75342;210050;2174899;1730;12524;12770;35634;57156;54150;266460;21370;59921;521715
01/04/2015;8467;64718;55152;138969;223888;192021;1073963;76606;222760;2056544;12388;78613;61131;150847;236357;193843;1048619;69900;190576;2042274;1736;11776;11535;30676;50132;46961;235675;18959;50820;458270
01/05/2015;9151;67921;59932;132369;213547;178415;1037657;74703;204367;1978062;10840;73463;61247;149672;235330;191089;1043720;70744;193463;2029568;1509;10496;10751;27393;44333;41110;213109;17143;47254;413098
01/06/2015;9463;70975;59356;130976;209656;170708;995766;69209;189240;1905349;8589;66763;58831;141429;227596;186766;1005340;69943;193078;1958335;1674;10045;10556;25581;42115;38610;201316;16567;45447;391911
01/07/2015;8892;63614;52163;123191;202073;172675;963077;66236;203233;1855154;8481;65090;60167;139889;226139;192049;1009784;70621;232147;2004367;1586;10218;10526;24690;40207;37494;195385;16411;50437;386954
01/08/2015;8630;58873;45776;118982;198953;167538;957322;71946;244172;1872192;8274;64612;59858;136067;217812;174288;941365;65007;194762;1862045;1470;9621;9753;23040;38182;34693;185073;15082;46644;363558
01/09/2015;12594;67631;44997;113626;188604;156837;920936;66280;188998;1760503;7731;61740;56740;133820;215680;175064;952788;67143;189251;1859957;1347;9307;8828;21396;36238;33040;177882;14506;41429;343973
01/10/2015;8388;52944;41036;104819;177398;153955;905099;61481;165501;1670621;8422;63227;57084;133294;207742;168782;929910;63370;184063;1815894;1379;8485;8289;19874;34321;31655;173279;13824;36598;327704
01/11/2015;6018;42252;35558;93920;164778;141633;877835;56899;149256;1568149;7943;60378;55123;128511;203381;162183;901720;61055;169265;1749559;1135;7266;7004;17617;31103;28359;157135;12357;32593;294569
01/12/2015;3772;26951;24268;65698;118766;105772;705094;43859;99864;1194044;10295;76990;71946;149272;245140;202531;1133391;100770;495807;2486142;1121;7362;7261;17757;30898;30645;166615;14918;50972;327549
01/01/2016;7856;54522;47034;116259;216571;151387;989931;68327;249746;1901633;7313;48789;42247;99635;182961;140270;804637;55600;183921;1565373;1099;6880;6926;17951;30950;30102;159415;13053;39902;306278
01/02/2016;6233;51417;44095;112268;192530;160653;958581;73130;450372;2049279;10113;61688;48456;111304;200060;157703;875077;61364;201093;1726858;1012;7114;7385;19655;32287;31859;169020;15088;53964;337384
01/03/2016;6450;52456;46468;114064;251710;161150;1021708;73702;292806;2020514;9913;66396;56480;130925;212808;174840;997288;70129;222180;1940959;1151;7107;7447;19039;32599;31307;174515;15445;52218;340828
01/04/2016;6708;50828;43166;103180;174909;146341;928370;66657;228662;1748821;7920;51801;45656;109803;188695;153070;907327;63800;198706;1726778;957;6331;6732;16883;29423;27144;155167;13666;45477;301780
01/05/2016;8537;58096;51600;99549;168638;137028;887891;61013;202172;1674524;6629;50719;46871;111691;185843;149685;882739;61257;191624;1687058;1018;6096;6451;14975;26546;23790;141295;12401;41623;274195
01/06/2016;7404;54374;45059;96341;164943;131258;849950;60089;193528;1602946;6773;51056;46682;108409;183841;147848;863697;61605;202336;1672247;1053;6726;7118;14901;26103;23283;139168;12413;43119;273884
01/07/2016;5972;46763;36903;90850;160693;133283;857885;61370;209551;1603270;6949;52587;47049;106060;182038;147168;862796;61867;218999;1685513;968;6720;6675;14714;25833;22607;140419;12792;45358;276086
01/08/2016;7751;48434;36916;94558;160512;138808;878258;63974;229448;1658659;7136;54421;48940;106041;178493;140888;831388;60886;193298;1621491;978;6628;6426;15402;26839;23572;147874;13384;44945;286048
01/09/2016;9759;51480;34572;83752;142842;126291;804847;57634;174272;1485449;6661;49953;45144;98610;168538;135403;805922;58454;195959;1564644;945;6115;5928;14010;24481;22121;138106;12201;38654;262561
01/10/2016;6407;39430;30864;80303;138437;126176;794950;58500;171433;1446500;6579;51355;44541;101054;172909;135185;832645;58655;189703;1592626;939;5714;5539;13382;24046;21838;139345;11684;36991;259478
01/11/2016;4860;33343;29457;74910;131328;119419;817372;53294;143005;1406988;7212;54663;47576;107921;179250;138680;838189;58557;185994;1618042;824;5140;5214;12464;22308;20324;133609;11724;35006;246613
01/12/2016;3254;22056;20241;53550;101858;92099;678892;44813;118172;1134935;9494;68299;69620;134250;232144;179914;1166501;102862;605759;2568843;825;5498;5735;13451;24907;22957;152245;15593;63262;304473
01/01/2017;8460;56380;51268;115306;217724;155328;1135960;82236;382468;2205130;7901;49331;38623;86677;153690;122746;796649;56395;211135;1523147;809;5181;5487;14153;25713;23981;149216;13171;43277;280988
01/02/2017;6351;47608;41018;99173;175397;142312;979776;78971;474019;2044625;9236;53536;37880;87264;149807;124551;787762;56640;201443;1508119;774;5320;5248;14089;23993;23199;143225;13645;50388;279881
01/03/2017;6207;45650;39375;100293;224503;141073;1011477;74600;342658;1985836;7553;48817;45867;106124;179957;146613;914069;65563;222296;1736859;887;5818;6187;15811;29019;26101;170174;15938;56809;326744
01/04/2017;5551;44463;36014;87040;152005;127398;880428;63083;237147;1633129;5820;38855;34333;84941;143571;117756;770580;54992;179023;1429871;785;4627;4849;12901;22172;20515;140387;12951;43310;262497
01/05/2017;8324;55107;47401;91738;156347;128965;909810;64586;227573;1689851;5487;41619;39078;90570;157460;129654;835819;58880;196872;1555439;834;5661;5690;14098;24502;22447;152740;13629;46239;285840
01/06/2017;7271;52311;40436;87505;148539;122692;863921;62034;203115;1587824;5538;43424;37607;89021;154404;128081;812265;59049;213596;1542985;877;5924;5883;13567;23826;21310;149946;13685;48093;283111
01/07/2017;6146;43335;35098;86037;146007;127346;889241;63277;234994;1631481;6042;43156;38882;87989;153216;126937;828223;59648;247681;1591774;883;6053;5912;13904;23682;21298;150575;14057;48210;284574
01/08/2017;6705;45074;33092;85817;159567;135350;947318;71434;291707;1776064;6282;46975;42216;92886;158219;127027;837147;60800;213857;1585409;821;6409;5928;14197;25809;23170;164290;15382;53763;309769
01/09/2017;7782;46360;31936;83241;139094;123174;874008;64645;213396;1583636;5785;43107;39120;87081;152356;121129;806481;58889;193383;1507331;793;5840;5269;12840;28242;21569;153618;13872;43656;285699
01/10/2017;9980;46969;33172;80595;143799;130045;894990;64566;193603;1597719;5446;40324;35135;85435;147043;122674;803246;56848;185738;1481889;797;5324;5013;12641;23186;21405;156683;14002;42307;281358
01/11/2017;4748;33869;27656;72476;131715;117756;882733;59893;170183;1501029;5936;45805;39598;89771;153372;122333;815654;56547;174750;1503766;789;5349;4916;12153;22126;20496;151936;13715;40719;272199
01/12/2017;3325;23369;20571;53628;101298;92861;733285;48120;121652;1198109;7830;55568;53667;111660;192930;158820;1080452;95546;548106;2304579;814;5494;5116;12569;22690;22327;161267;15490;58318;304085
01/01/2018;7082;47691;41650;104962;193100;147392;1074756;76806;301232;1994671;6203;40908;32130;76758;136015;113574;781340;55765;196774;1439467;832;5536;5148;13697;24629;24251;165413;14598;50241;304345
01/02/2018;5511;43503;35035;89358;156568;138142;973510;77354;503729;2022710;8941;47894;36190;79356;141409;119894;796225;58809;212659;1501377;808;5052;5161;14039;26239;24095;161649;15649;57970;310662
01/03/2018;5752;45649;35864;95074;169125;141291;1057480;80604;332587;1963426;8990;53893;43065;96574;160024;133728;906125;66418;228307;1697124;901;5356;5521;14583;25650;25396;180612;17618;61866;337503
01/04/2018;6026;45003;37078;90019;152699;134924;980920;72619;271764;1791052;5878;39553;34707;83572;142720;122760;836849;61110;208435;1535584;788;5346;5114;13473;24528;23185;167553;15975;54632;310594
01/05/2018;7780;50680;41154;88611;146452;128720;938797;69339;238161;1709694;5640;41568;35823;89546;153484;128375;883527;62346;209237;1609546;836;5470;5083;13166;23293;22477;165600;15388;53864;305177
01/06/2018;7876;53864;38874;84318;134804;116328;855545;64458;221717;1577784;5361;41224;33985;82505;144391;123108;829499;60002;211368;1531443;902;5509;5261;12613;21922;20915;154284;14765;52221;288392
01/07/2018;6592;53005;35246;87599;142780;130467;897765;66767;235468;1655689;5335;39857;35550;82094;145071;123782;844701;61999;239551;1577940;984;5837;5657;13448;23087;22410;162660;15415;57506;307004
01/08/2018;8496;54020;36116;94937;153022;143453;1005333;79496;301922;1876795;6110;45549;38135;88006;148500;126197;856141;64032;219625;1592295;936;6644;5912;14414;24549;24156;177491;17580;61088;332770
01/09/2018;10115;56041;33093;84600;133859;128849;896199;69127;216279;1628162;5397;42535;35361;80824;136963;115627;797271;58925;194691;1467594;837;5877;4877;12637;21886;21732;159911;15127;49864;292748
01/10/2018;6041;42860;31810;86155;139769;139263;950947;70348;207374;1674567;6712;43878;37004;89258;147135;127040;873498;64688;204915;1594128;886;6174;5251;13786;24220;24040;177831;16236;50983;319407
01/11/2018;5009;36270;28468;78736;129624;127125;936606;66634;193455;1601927;6054;46264;37192;90506;146205;123338;846103;61078;195766;1552506;785;5557;4616;12617;21848;22131;163391;15043;45965;291953
01/12/2018;3894;25428;20407;56205;97672;97519;771198;51579;135382;1259284;7519;57442;54221;115598;196203;161675;1111289;92761;578036;2374744;778;5686;4950;13088;22666;23054;170810;16334;63657;321023
01/01/2019;7817;47547;34862;97071;169932;135530;1015859;73679;278148;1860445;6514;41072;30546;77298;129893;115043;835900;62324;229207;1527797;999;6031;5301;15326;25749;27400;188554;18189;56745;344294
01/02/2019;7595;45725;36192;93566;161383;150726;1083522;86965;534884;2200558;8736;46681;33820;79391;132531;117888;826991;64507;222670;1533215;921;5685;5225;15374;24502;26602;189804;19872;68042;356027
01/03/2019;6006;39034;29640;81315;136360;121431;933863;70013;289571;1707233;7778;45029;36697;86296;139475;123890;866188;64855;205213;1575421;931;5615;5225;14529;24199;25722;185302;19233;61046;341802
01/04/2019;6963;46003;33405;83958;137044;126145;980528;72492;254284;1740822;6051;37122;31459;79293;130953;116689;831606;61339;196373;1490885;961;5691;5188;14403;23861;24715;184061;18858;59417;337155
01/05/2019;8281;52004;38110;86923;135986;124171;933898;68391;229768;1677532;5746;41929;34117;85873;139439;122598;868276;63176;197213;1558367;970;6261;5318;14404;23942;24656;187707;18714;59471;341443
01/06/2019;7216;45198;32323;78190;122428;113666;863734;63671;194783;1521209;5865;37769;30848;78322;130791;116088;821545;60082;214190;1495500;998;5887;5160;13008;21532;21819;167822;16944;56802;309972
01/07/2019;6765;41670;29871;79889;129848;125801;922561;68509;229495;1634409;6123;39093;33144;79860;134739;120406;855005;63677;225571;1557618;1060;6244;5558;14105;23766;24506;187248;18960;61893;343340
01/08/2019;8417;45403;29793;80836;133567;129372;964033;73630;272287;1737338;6061;41446;32843;79391;127641;116184;832557;63147;203106;1502376;1024;6033;5119;14074;23258;24487;190607;19832;63836;348270
01/09/2019;10322;47841;30677;77050;124291;121309;919348;67524;209176;1607538;5576;36464;29529;75102;124102;113475;804047;59026;186905;1434226;1005;6277;4959;13604;23408;24128;187367;18244;57024;336016
01/10/2019;6849;38697;27997;76921;127175;129051;974705;68768;195204;1645367;5847;39480;34175;81469;134997;120290;881249;63945;192185;1553637;1163;6317;5781;14466;24815;26687;207197;19683;57173;363282
01/11/2019;5725;30795;24798;67995;117530;117818;951549;63279;168835;1548324;6265;40589;34138;82567;130846;116924;829060;58940;182090;1481419;1046;5430;5244;13488;22758;24126;191421;18099;51548;333160
01/12/2019;4003;21009;15775;48117;84222;84505;747193;47195;111219;1163238;8562;49804;44313;101557;169332;150252;1087941;92864;561811;2266436;977;5830;5044;13445;22792;24857;192602;18183;67853;351583
